-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2010 through 12/31/2025 in LST
Location: Latitude  17.3617   Longitude 78.4752 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 494.59 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
RH2M                MERRA-2 Relative Humidity at 2 Meters (%) 
T2M                 MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX             MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN             MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,2010,7.23,6.38,0.06,3.01,22.86,128.34,317.53,224.13,196.74,67.14,42.32,12.74,1028.48
PRECTOTCORR_SUM,2011,0.05,6.0,2.0,4.83,10.23,48.38,209.68,201.79,59.28,48.54,3.96,0.6,595.34
PRECTOTCORR_SUM,2012,2.57,0.0,0.31,17.03,7.15,105.01,198.88,135.73,118.94,67.42,34.17,0.0,687.21
PRECTOTCORR_SUM,2013,2.25,22.09,0.22,48.8,15.47,171.75,234.08,142.77,153.51,205.59,11.63,0.0,1008.16
PRECTOTCORR_SUM,2014,0.0,3.82,51.17,12.71,47.44,44.82,140.71,207.02,83.84,37.56,6.22,2.74,638.05
PRECTOTCORR_SUM,2015,4.92,2.1,19.06,67.1,7.23,92.41,45.23,80.56,108.98,9.1,3.78,0.28,440.75
PRECTOTCORR_SUM,2016,1.78,0.82,0.23,4.5,68.66,131.46,147.58,80.96,261.24,43.15,0.03,0.83,741.24
PRECTOTCORR_SUM,2017,0.0,0.0,7.52,2.93,37.64,134.29,179.28,170.81,161.4,91.25,1.4,0.0,786.52
PRECTOTCORR_SUM,2018,0.0,0.05,0.49,34.16,27.6,113.02,100.26,144.29,88.3,22.82,0.25,19.88,551.12
PRECTOTCORR_SUM,2019,22.2,0.61,1.65,27.27,15.03,61.02,117.12,180.75,194.95,123.56,4.04,5.13,753.33
PRECTOTCORR_SUM,2020,12.94,3.73,16.67,21.58,44.21,175.26,249.75,291.65,214.92,181.48,13.23,0.0,1225.42
PRECTOTCORR_SUM,2021,1.13,1.89,0.0,19.64,34.52,166.5,302.82,173.87,237.5,92.91,25.16,0.07,1056.01
PRECTOTCORR_SUM,2022,29.66,0.03,0.13,2.14,35.16,94.64,399.12,130.6,162.1,105.77,2.15,4.49,965.99
PRECTOTCORR_SUM,2023,0.01,0.0,42.5,92.48,43.58,52.0,383.04,42.85,219.22,2.97,25.2,12.32,916.17
PRECTOTCORR_SUM,2024,0.0,0.0,4.53,3.22,87.94,118.18,170.74,240.31,219.91,62.02,8.03,11.97,926.85
PRECTOTCORR_SUM,2025,0.0,0.0,13.78,35.31,131.03,74.75,173.88,387.73,284.86,146.55,13.71,0.01,1261.61
RH2M,2010,54.61,44.44,31.68,32.17,37.43,61.06,82.65,85.2,87.3,85.72,87.1,77.03,63.99
RH2M,2011,62.45,57.85,35.7,40.16,33.23,57.78,76.1,81.34,82.37,74.92,61.33,48.19,59.28
RH2M,2012,47.56,34.77,22.75,37.9,29.55,55.18,76.08,79.72,83.39,76.78,70.89,60.61,56.32
RH2M,2013,50.86,50.27,35.16,42.33,36.8,73.45,80.21,83.95,85.32,85.48,82.29,72.01,64.9
RH2M,2014,69.34,50.75,50.89,32.41,44.7,49.82,69.77,73.79,82.52,71.62,61.79,52.65,59.27
RH2M,2015,47.63,41.55,42.92,46.74,35.58,63.14,61.02,70.43,74.72,60.99,59.34,49.01,54.46
RH2M,2016,42.58,42.25,38.06,30.92,44.3,66.43,76.62,74.94,84.28,78.69,64.8,54.15,58.22
RH2M,2017,44.12,31.45,33.95,25.41,37.28,67.75,73.68,80.73,83.81,82.78,74.24,58.17,57.94
RH2M,2018,37.82,35.41,28.87,40.87,42.01,63.4,70.94,75.86,75.51,63.08,54.91,55.68,53.79
RH2M,2019,47.38,47.07,34.51,35.4,31.48,54.38,69.98,79.89,83.41,87.28,81.25,75.87,60.74
RH2M,2020,65.19,50.19,43.91,38.48,38.17,70.25,82.83,86.98,88.31,86.68,84.97,79.0,67.98
RH2M,2021,75.42,52.76,31.57,36.99,47.65,71.49,82.65,84.65,87.01,84.84,86.61,77.18,68.34
RH2M,2022,68.61,55.32,33.79,35.16,47.56,62.37,83.28,85.1,86.05,84.8,78.27,73.03,66.21
RH2M,2023,60.95,31.51,44.69,42.83,50.49,48.43,77.25,81.41,85.86,76.52,74.96,68.16,62.16
RH2M,2024,59.56,45.52,37.79,32.4,50.7,69.47,78.37,83.67,85.87,86.0,79.26,72.91,65.22
RH2M,2025,58.6,38.26,33.69,41.81,56.54,67.87,75.88,85.59,88.84,88.8,82.01,73.63,66.14
T2M,2010,21.34,25.99,30.58,33.52,34.02,29.7,25.44,25.25,24.6,23.74,22.73,18.82,26.3
